          Zone             Team                Brand                       Product_Name       All Regions  9-Feb-26
488   Centre I        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s          Khanewal         2
490   Centre I        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s            Layyah         3
491   Centre I        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s    Rahim Yar Khan         1
492   Centre I        ACHIEVERS                ASVON       Asvon Tab 10/100mg 30s Total               All         6
493   Centre I        ACHIEVERS          ASVON Total                                All               All         6
494   Centre I        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.        Bahawalpur         2
496   Centre I        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.          Khanewal         3
497   Centre I        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.           Khanpur         5
500   Centre I        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.    Rahim Yar Khan         3
501   Centre I        ACHIEVERS               ATOXAN             Atoxan 30mg Tab. Total               All        13
502   Centre I        ACHIEVERS         ATOXAN Total                                All               All        13
506   Centre I        ACHIEVERS                D-ABS               D-ABS injection (IM)           Khanpur        35
508   Centre I        ACHIEVERS                D-ABS               D-ABS injection (IM)            Layyah        23
511   Centre I        ACHIEVERS                D-ABS         D-ABS injection (IM) Total               All        58
516   Centre I        ACHIEVERS          D-ABS Total                                All               All        55
517   Centre I        ACHIEVERS        Pentallin IVY                 Pentallin Syp. IVY   Dera Ghazi Khan        10
520   Centre I        ACHIEVERS        Pentallin IVY                 Pentallin Syp. IVY    Rahim Yar Khan        10
521   Centre I        ACHIEVERS        Pentallin IVY           Pentallin Syp. IVY Total               All        20
522   Centre I        ACHIEVERS  Pentallin IVY Total                                All               All        20
526   Centre I        ACHIEVERS               ROPLEX        Roplex 50mg/5ml Syrup 120ml    Rahim Yar Khan         2
527   Centre I        ACHIEVERS               ROPLEX  Roplex 50mg/5ml Syrup 120ml Total               All         2
528   Centre I        ACHIEVERS         ROPLEX Total                                All               All         2
529   Centre I        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.        Bahawalpur        52
530   Centre I        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.   Dera Ghazi Khan        21
531   Centre I        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.          Khanewal         5
535   Centre I        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.            Layyah         5
538   Centre I        ACHIEVERS               SWICEF       Swicef 100mg/5ml Susp. Total               All        83
541   Centre I        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.          Khanewal         5
545   Centre I        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.            Layyah        26
547   Centre I        ACHIEVERS               SWICEF    Swicef DS 200mg/5ml Susp. Total               All        31
548   Centre I        ACHIEVERS         SWICEF Total                                All               All       114
552   Centre I        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml            Layyah        20
553   Centre I        ACHIEVERS           VITAGLOBIN       VITAGLOBIN Syrup 120ml Total               All        20
556   Centre I        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp           Khanpur         5
559   Centre I        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp    Rahim Yar Khan         3
560   Centre I        ACHIEVERS           VITAGLOBIN          Vitaglobin Plus Syp Total               All         7
