,Unnamed: 0,MANUFACTURER,DATE,PRICE,MAT ~ 12/2025,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,MAT ~ 12/2024,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,MAT ~ 12/2023,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,MAT ~ 12/2022,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,MAT ~ 12/2021,Unnamed: 29,Unnamed: 30,Unnamed: 31,2025-12-01 00:00:00,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,2025-11-02 00:00:00,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,2025-10-02 00:00:00,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,2025-09-02 00:00:00,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,2025-08-02 00:00:00,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,2025-07-02 00:00:00,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,2025-06-02 00:00:00,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,2025-05-04 00:00:00,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,2025-04-05 00:00:00,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,2025-03-07 00:00:00,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,2025-02-06 00:00:00,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,2025-01-08 00:00:00,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,2024-12-10 00:00:00,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,2024-11-11 00:00:00,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,2024-10-13 00:00:00,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,2024-09-14 00:00:00,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,2024-08-16 00:00:00,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,2024-07-18 00:00:00,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,2024-06-19 00:00:00,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,2024-05-21 00:00:00,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,2024-04-22 00:00:00,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,2024-03-24 00:00:00,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,2024-02-24 00:00:00,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,2024-01-26 00:00:00,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175
0,,,,,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,UNIT,SHARE,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH,VALUE,SHARE,GROWTH,UNIT,SHARE,GROWTH
1,TOTAL MARKET,, ,,1175175413292,100,16.39,3789852648,100,1.24,1009697997270,100,21.7,3743337416,100,2.98,829673049540,100,17.77,3635108297,100,0.77,704484544319,100,14.27,3607366586,100,7.45,616500732180,100,3357394484,100,109902876282,100,22.91,351006015,100,9.74,106810606756,100,18.44,342106394,100,7.09,110808004197,100,14.69,343823504,100,-1.33,105862836258,100,12.67,333272519,100,-2.98,98782300005,100,11.08,308213415,100,-4.33,97342291569,100,16.01,305105617,100,-0.12,86941412366,100,13.77,282177360,100,0,96105881144,100,14.43,311619098,100,-2.5,91827486779,100,19.28,303024544,100,1.24,90133164124,100,13.24,301673862,100,-2.04,89385645277,100,19.21,300766252,100,4.77,91272908535,100,22.14,307064068,100,6.5,89420836264,100,15.05,319859013,100,-2.53,90177800365,100,19.23,319461518,100,1.45,96617661452,100,25.92,348459145,100,11.55,93958937471,100,24.01,343511605,100,6.75,88927461296,100,15.52,322171036,100,-0.82,83908940607,100,22.12,305470414,100,5.59,76417766544,100,23.48,282163837,100,1.15,83986946974,100,22.86,319594727,100,2.91,76983758523,100,30.8,299302246,100,9.75,79591639197,100,20.92,307958133,100,-0.1,74980137583,100,21.62,287065096,100,1.08,74726110994,100,21.38,288320646,100,-0.32
2,A02B ANTIULCERANTS,, ,,64603846343,5.5,13.72,178827627,4.72,6.16,56811232039,5.63,22.19,168443326,4.5,8.8,46493373950,5.6,20.24,154817890,4.26,1.78,38665850694,5.49,14.84,152106275,4.22,4.31,33668774668,5.46,145819894,4.34,5445881927,4.96,19.28,14535164,4.14,10.67,5311732265,4.97,17.46,14231168,4.16,8.55,5840728659,5.27,15.39,15959604,4.64,10.14,5701455219,5.39,3.92,15480985,4.65,-5.15,5710678681,5.78,12.28,15944757,5.17,7.5,5767797031,5.93,20.45,15939575,5.22,13.48,5026039161,5.78,5.53,14122508,5,-3.61,5557173636,5.78,14.69,15531183,4.98,7.36,5107469637,5.56,13.09,14220303,4.69,5.01,5377230225,5.97,11.62,15274865,5.06,2.16,4996885136,5.59,19.53,14263743,4.74,13.86,4760774766,5.22,13.93,13323772,4.34,7.73,4565536978,5.11,9.55,13134305,4.11,-0.9,4522073956,5.01,13.05,13110589,4.1,6.74,5061613522,5.24,22.52,14490891,4.16,15.75,5486569023,5.84,23.47,16322009,4.75,13.26,5086073877,5.72,18.89,14832511,4.6,8.37,4788637497,5.71,21.47,14046683,4.6,12.3,4762654622,6.23,27.16,14651042,5.19,8,4845307413,5.77,26.8,14466941,4.53,8.63,4516281220,5.87,32.21,13541657,4.52,12.4,4817271539,6.05,26.51,14952085,4.86,8.78,4180359874,5.58,21.68,12527385,4.36,3.71,4178852518,5.59,26.44,12367228,4.29,8.48
3,OMEPRAZOLE,, ,,24674730701,38.19,11.25,67054949,37.5,5.83,22178642415,39.04,22.45,63363584,37.62,9.85,18112188284,38.96,13.83,57684431,37.26,-7.45,15911417157,41.15,11.95,62326016,40.98,3.68,14212769083,42.21,60111610,41.22,2169211871,39.83,28.36,5590071,38.46,17.49,2034284104,38.3,21.07,5298912,37.23,8.32,2244203631,38.42,10.72,6075285,38.07,7.54,2150770450,37.72,6.34,5789426,37.4,3.62,2157086621,37.77,6.69,5972956,37.46,4.53,2223532169,38.55,15.27,6025321,37.8,8.72,1953319756,38.86,10.73,5428678,38.44,5.84,2100817409,37.8,5.69,5736353,36.93,0.66,2013111530,39.42,9.62,5579145,39.23,2.95,2050000117,38.12,13.26,5553154,36.35,5.92,1793052369,35.88,7,5008339,35.11,4.94,1785340674,37.5,2.95,4997309,37.51,0.79,1689964246,37.02,6.69,4757997,36.23,0.87,1680278489,37.16,5.44,4891996,37.31,4.23,2026990369,40.05,19.13,5649416,38.99,13.34,2022480818,36.86,23.87,5587348,34.23,10.68,2021871156,39.75,19.43,5714052,38.52,8.92,1928990786,40.28,22.69,5542072,39.45,13.88,1764040229,37.04,30.58,5129082,35.01,13.47,1987672219,41.02,31.93,5698815,39.39,13.2,1836406263,40.66,33.13,5419493,40.02,14.87,1810058417,37.57,30.75,5242908,35.06,11.71,1675760123,40.09,22.73,4772414,38.1,1.77,1734129300,41.5,28.58,4957991,40.09,10.83
4,ORAL SOLID ORDINARY,, ,,18209043372,73.8,10.42,50593037,75.45,4.51,16489968628,74.35,18.67,48409595,76.4,6.64,13895942074,76.72,15.31,45395705,78.7,-8.88,12050637844,75.74,12.4,49817586,79.93,3.16,10720796738,75.43,48292928,80.34,1627062022,75.01,22.37,4291123,76.76,11.95,1517679919,74.61,18.92,4006293,75.61,4.43,1672385115,74.52,14.3,4622725,76.09,9.99,1581985666,73.55,8.12,4333019,74.84,4.15,1541159290,71.45,5.95,4389985,73.5,3.73,1579224759,71.02,16.85,4392303,72.9,9.36,1387200154,71.02,9.5,3969482,73.12,4.07,1465828883,69.77,2.11,4111515,71.67,-2.81,1471054518,73.07,7.18,4188149,75.07,0,1559791642,76.09,11.91,4282175,77.11,3.55,1388164616,77.42,5.64,3959084,79.05,3.54,1417506788,79.4,3.54,4047184,80.99,2.82,1329585212,78.68,8.29,3833052,80.56,3.44,1276168528,75.95,1.42,3836347,78.42,2.29,1463101192,72.18,12.69,4202867,74.39,9.16,1463121376,72.34,20.61,4160487,74.46,8.45,1454579723,71.94,14.35,4232266,74.07,5.24,1351479820,70.06,16.01,4016368,72.47,9.11,1266906785,71.82,27.51,3814226,74.36,9.83,1435582889,72.22,29.81,4230298,74.23,10.02,1372473762,74.74,29.49,4188299,77.28,11.05,1393797711,77,25.77,4135334,78.87,7.18,1314087626,78.42,18.94,3823879,80.12,-2.09,1369084004,78.95,25.73,3936172,79.39,6.46
5,40MG,, ,,9153620168,50.27,12.43,20193049,39.91,8.13,8141640139,49.37,23.93,18674228,38.58,13.78,6569774029,47.28,21.44,16413236,36.16,-2.94,5409823363,44.89,12.38,16910193,33.94,4.1,4813938956,44.9,16244587,33.64,778575000,47.85,17.44,1674121,39.01,11.56,774586942,51.04,19.15,1690494,42.2,12.55,764442232,45.71,2.48,1693221,36.63,2.68,821587359,51.93,10.95,1816215,41.92,11.47,785414445,50.96,8.91,1742920,39.7,4.57,819477485,51.89,21.03,1809692,41.2,13.92,725632259,52.31,16.68,1655553,41.71,12.91,752347898,51.33,8.75,1656908,40.3,3.99,740730322,50.35,12.86,1621088,38.71,4.61,791152541,50.72,18.36,1724255,40.27,11.05,696873674,50.2,7.97,1557189,39.33,4.31,702800011,49.58,6.5,1551393,38.33,4.6,662971476,49.86,13.61,1500688,39.15,10.45,650067389,50.94,7.66,1502048,39.15,10.16,745974076,50.99,20.98,1649009,39.24,16.22,740515982,50.61,26.85,1629265,39.16,13.36,721142331,49.58,16.58,1666674,39.38,8.61,677101887,50.1,17.86,1588522,39.55,14.72,621876610,49.09,30.82,1466219,38.44,15.48,691828092,48.19,34.14,1593378,37.67,15.27,656336501,47.82,36.6,1549680,37,20.66,668440602,47.96,30.75,1552679,37.55,14.62,645452602,49.12,26.63,1492832,39.04,9.63,659932591,48.2,32.92,1483234,37.68,17.45
6,RISEK              GTZ,GETZ PHARMA,1996-08-01 00:00:00,,4379035063,47.84,9.74,6113318,30.27,3.15,3990432964,49.01,15.75,5926818,31.74,5.07,3447393691,52.47,21.95,5640568,34.37,-21.95,2826978153,52.26,8.52,7226950,42.74,-3.31,2604930166,54.11,7474692,46.01,388598667,49.91,18.37,531493,31.75,15.54,368738616,47.6,33.26,504242,29.83,30.02,351057727,45.92,-6.55,492073,29.06,-6.53,382205974,46.52,2.43,535839,29.5,2.48,358946706,45.7,6.79,503497,28.89,-1.99,379620939,46.32,24.52,532122,29.4,14.24,339023258,46.72,16.85,475181,28.7,7.14,353016228,46.92,1.05,494847,29.87,-7.33,357979599,48.33,14.01,501820,30.96,4.55,405835801,51.3,24.04,569080,33,13.8,330645889,47.45,-5.23,463802,29.78,-13.02,363365659,51.7,-0.73,509322,32.83,-8.95,328300052,49.52,10.05,460016,30.65,0.88,276713194,42.57,-11.82,387822,25.82,-19.15,375671808,50.36,18.12,526451,31.93,8.26,373156388,50.39,24.68,522851,32.09,14.24,336119126,46.61,6.29,513746,30.82,6.2,304868064,45.03,-0.15,465803,29.32,-0.23,290128302,46.65,18.24,443496,30.25,3.64,349357697,50.5,35.61,533973,33.51,18.87,313998691,47.84,23.37,479994,30.97,7.32,327169195,48.95,18.37,500057,32.21,1.49,348911329,54.06,25.04,533216,35.72,7.13,366039118,55.47,29.13,559393,37.71,12.88
7,RISEK CAPS ENTER 40MG 21,,2022-09-01 00:00:00,731.85,4374705132,99.9,9.68,6101189,99.8,3.03,3988717269,99.96,16.65,5922012,99.92,6.47,3419318926,99.19,422.9,5561925,98.61,387.98,653920049,23.13,999,1139782,15.77,999,0,0,0,0,388242034,99.91,18.31,530494,99.81,15.43,368461592,99.92,33.25,503466,99.85,30,350775348,99.92,-6.57,491282,99.84,-6.57,381822924,99.9,2.37,534766,99.8,2.37,358396584,99.85,6.68,501956,99.69,-2.21,379306788,99.92,24.42,531242,99.83,14.05,338767296,99.92,16.83,474464,99.85,7.1,352711716,99.91,1,493994,99.83,-7.41,357659736,99.91,13.97,500924,99.82,4.48,405348510,99.88,23.95,567715,99.76,13.62,330137178,99.85,-5.36,462377,99.69,-13.24,363075426,99.92,-0.78,508509,99.84,-9.05,328148688,99.95,10.07,459592,99.91,0.9,276521490,99.93,-11.84,387285,99.86,-19.19,375457614,99.94,18.17,525851,99.89,8.32,372997170,99.96,24.76,522405,99.91,14.36,335965977,99.95,6.4,513317,99.92,6.4,304868064,100,-0.07,465803,100,-0.07,289960517,99.94,18.28,443026,99.89,3.69,349204548,99.96,35.67,533544,99.92,18.93,313809843,99.94,24.99,479465,99.89,9.57,327027470,99.96,22.93,499660,99.92,7.76,348817084,99.97,30.01,532952,99.95,13.97,365938804,99.97,29.75,559112,99.95,13.74
8,RISEK CAPS ENTER 40MG 14,,2005-04-01 00:00:00,356.99,4329931,0.1,152.37,12129,0.2,152.37,1715695,0.04,-93.89,4806,0.08,-93.89,28074765,0.81,-98.71,78643,1.39,-98.71,2173058104,76.87,-16.58,6087168,84.23,-18.56,2604930166,100,7474692,100,356633,0.09,135.61,999,0.19,135.61,277024,0.08,44.51,776,0.15,44.51,282379,0.08,31.83,791,0.16,31.83,383050,0.1,140.58,1073,0.2,140.58,550122,0.15,259.21,1541,0.31,259.21,314151,0.08,999,880,0.17,999,255962,0.08,52.55,717,0.15,52.55,304512,0.09,98.83,853,0.17,98.83,319863,0.09,69.38,896,0.18,69.38,487291,0.12,243.83,1365,0.24,243.83,508711,0.15,439.78,1425,0.31,439.77,290233,0.08,189.32,813,0.16,189.32,151364,0.05,-12.22,424,0.09,-12.22,191704,0.07,24.31,537,0.14,24.31,214194,0.06,-27.01,600,0.11,-27.01,159218,0.04,-49.49,446,0.09,-49.49,153149,0.05,-66.74,429,0.08,-66.74,0,0,-100,0,0,-100,167785,0.06,-26.79,470,0.11,-26.79,153149,0.04,-28.62,429,0.08,-28.62,188848,0.06,-94.52,529,0.11,-94.52,141725,0.04,-98.63,397,0.08,-98.63,94245,0.03,-99.12,264,0.05,-99.12,100314,0.03,-92.99,281,0.05,-92.99
9,RULING             HQI,HIGH-Q INTL,2007-08-01 00:00:00,,1691168160,18.48,4.27,4145020,20.53,4.27,1621922808,19.92,27.84,3975301,21.29,10.26,1268671537,19.31,20.23,3605469,21.97,6.45,1055206681,19.51,21.35,3387062,20.03,13.89,869581810,18.06,2973946,18.31,138471120,17.79,6.44,339390,20.27,6.44,134431104,17.36,-0.59,329488,19.49,-0.59,145517688,19.04,-0.64,356661,21.06,-0.64,147948960,18.01,-0.61,362620,19.97,-0.61,150634824,19.18,5.49,369203,21.18,5.49,154529592,18.86,8.49,378749,20.93,8.49,134241792,18.5,7.51,329024,19.87,7.51,141556008,18.82,4.97,346951,20.94,4.97,135928464,18.35,1.89,333158,20.55,1.89,141799992,17.92,4.56,347549,20.16,4.56,137258952,19.7,9.79,336419,21.6,9.79,128849664,18.33,5.36,315808,20.36,5.36,130089984,19.62,4.48,318848,21.25,4.48,135232824,20.8,6.46,331453,22.07,6.46,146461800,19.63,14.32,358975,21.77,14.32,148851048,20.1,39.18,364831,22.39,13.37,142796328,19.8,22.92,349991,21,0.13,142431576,21.04,39.12,349097,21.98,13.33,124866768,20.08,31.03,306046,20.87,6.73,134859096,19.49,31.14,330537,20.74,6.82,133407432,20.33,50.62,326979,21.1,22.7,135611448,20.29,39.26,332381,21.41,13.44,125017728,19.37,41.09,306416,20.53,14.93,122296776,18.53,34.65,299747,20.21,9.68
